bookId-chunkNo,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34
pg14605-7,0.0171,0.2503,0.2713,0.0646,0.0209,0.0214,0.0402,0.0654,0.0392,0.0004,0.0078,0.0115,0.0046,0.1253,0.0175,0.0281,0.2000,0.4400,0.3600,0.6859,-0.0591,0.8353,-0.0031,-0.0090,0.0134,-0.0044,0.0025,0.0066,-0.0025,0.0108,-0.0103,-0.0040,0.2670,0.3684,0.0000
pg14605-4,0.0181,0.3077,0.3137,0.0882,0.0288,0.0226,0.0420,0.0556,0.0434,0.0008,0.0063,0.0142,0.0064,0.1189,-0.0264,0.0241,0.4000,0.1200,0.4800,0.7267,-0.0591,0.8353,-0.0031,-0.0090,0.0134,-0.0044,0.0025,0.0066,-0.0025,0.0108,-0.0103,-0.0040,0.2236,0.1842,0.0000
pg14605-5,0.0200,0.2370,0.2012,0.0647,0.0163,0.0227,0.0335,0.0577,0.0449,0.0006,0.0057,0.0123,0.0078,0.1098,-0.0322,0.0359,0.4400,0.1200,0.4400,0.7069,-0.0591,0.8353,-0.0031,-0.0090,0.0134,-0.0044,0.0025,0.0066,-0.0025,0.0108,-0.0103,-0.0040,0.3294,0.4211,0.0000
pg16403-6,0.0222,0.2046,0.2736,0.0750,0.0280,0.0227,0.0299,0.0715,0.0357,0.0023,0.0082,0.0056,0.0101,0.1175,-0.0298,0.0370,0.5333,0.1667,0.3000,0.6733,-0.1016,0.4765,-0.0050,0.0115,0.0107,-0.0054,0.0087,0.0059,-0.0103,-0.0022,-0.0041,-0.0099,0.3619,0.3947,0.0000
pg16403-2,0.0149,0.0497,0.2231,0.0741,0.0245,0.0235,0.0310,0.0704,0.0293,0.0018,0.0091,0.0072,0.0099,0.1195,0.0555,0.0225,0.4333,0.4000,0.1667,0.6026,-0.1016,0.4765,-0.0050,0.0115,0.0107,-0.0054,0.0087,0.0059,-0.0103,-0.0022,-0.0041,-0.0099,0.2643,0.1316,0.0000
pg16403-3,0.0192,0.0262,0.1393,0.1025,0.0274,0.0229,0.0287,0.0590,0.0331,0.0012,0.0090,0.0083,0.0157,0.1062,-0.0396,0.0314,0.3667,0.2667,0.3667,0.7166,-0.1016,0.4765,-0.0050,0.0115,0.0107,-0.0054,0.0087,0.0059,-0.0103,-0.0022,-0.0041,-0.0099,0.2964,0.1053,0.0000
pg16403-4,0.0168,0.1691,0.2472,0.0877,0.0353,0.0233,0.0305,0.0688,0.0349,0.0017,0.0122,0.0088,0.0117,0.1220,-0.0141,0.0258,0.4000,0.2333,0.3667,0.6673,-0.1016,0.4765,-0.0050,0.0115,0.0107,-0.0054,0.0087,0.0059,-0.0103,-0.0022,-0.0041,-0.0099,0.2567,0.2368,0.0000
pg16403-5,0.0192,0.1413,0.3285,0.0848,0.0327,0.0254,0.0292,0.0660,0.0331,0.0028,0.0109,0.0069,0.0123,0.1158,-0.0149,0.0329,0.2000,0.3000,0.5000,0.6621,-0.1016,0.4765,-0.0050,0.0115,0.0107,-0.0054,0.0087,0.0059,-0.0103,-0.0022,-0.0041,-0.0099,0.3223,0.2632,0.0000
pg37948-10,0.0278,0.0742,0.1065,0.0873,0.0248,0.0220,0.0311,0.0586,0.0419,0.0011,0.0025,0.0052,0.0056,0.0985,-0.0435,0.0497,0.4800,0.3200,0.2000,0.7533,-0.0729,0.0375,-0.0062,0.0138,0.0109,0.0008,-0.0021,-0.0033,-0.0096,-0.0090,0.0070,-0.0023,0.4521,0.3947,0.0000
pg55046-3,0.0036,0.1160,0.0016,0.0497,0.0115,0.0264,0.0334,0.0626,0.0272,0.0021,0.0116,0.0073,0.0006,0.1170,0.1725,0.0047,0.5000,0.1875,0.3125,0.4136,-0.0947,-0.9560,0.0120,0.0086,0.0003,-0.0084,-0.0092,-0.0011,-0.0080,0.0089,0.0049,-0.0080,0.0192,0.0263,0.0000
pg55046-2,0.0037,0.0217,0.0000,0.0499,0.0099,0.0242,0.0369,0.0565,0.0294,0.0024,0.0122,0.0092,0.0001,0.1172,0.1691,0.0020,0.1875,0.1250,0.6875,0.3921,-0.0947,-0.9560,0.0120,0.0086,0.0003,-0.0084,-0.0092,-0.0011,-0.0080,0.0089,0.0049,-0.0080,0.0096,0.0000,0.0000
pg55046-5,0.0032,0.1349,0.0000,0.0374,0.0108,0.0248,0.0367,0.0523,0.0269,0.0016,0.0114,0.0061,0.0006,0.1081,0.2390,0.0022,0.1250,0.2500,0.6250,0.3365,-0.0947,-0.9560,0.0120,0.0086,0.0003,-0.0084,-0.0092,-0.0011,-0.0080,0.0089,0.0049,-0.0080,0.0000,0.0000,0.0000
pg55046-4,0.0037,0.0286,0.0019,0.0380,0.0144,0.0240,0.0364,0.0628,0.0277,0.0013,0.0113,0.0045,0.0000,0.1163,0.2066,0.0050,0.1875,0.3125,0.5000,0.3417,-0.0947,-0.9560,0.0120,0.0086,0.0003,-0.0084,-0.0092,-0.0011,-0.0080,0.0089,0.0049,-0.0080,0.0000,0.0000,0.0000
pg55046-7,0.0019,0.0313,0.0000,0.0225,0.0126,0.0316,0.0394,0.0699,0.0276,0.0023,0.0088,0.0081,0.0002,0.1285,0.2347,0.0044,0.5625,0.3750,0.0625,0.3081,-0.0947,-0.9560,0.0120,0.0086,0.0003,-0.0084,-0.0092,-0.0011,-0.0080,0.0089,0.0049,-0.0080,0.0000,0.0000,0.0000
pg55046-6,0.0033,0.0263,0.0000,0.0247,0.0095,0.0321,0.0366,0.0684,0.0251,0.0013,0.0107,0.0082,0.0004,0.1252,0.2977,0.0008,0.2500,0.3750,0.3750,0.2794,-0.0947,-0.9560,0.0120,0.0086,0.0003,-0.0084,-0.0092,-0.0011,-0.0080,0.0089,0.0049,-0.0080,0.0000,0.0000,0.0000
pg55046-9,0.0039,0.0367,0.0000,0.0360,0.0131,0.0246,0.0313,0.0621,0.0281,0.0014,0.0102,0.0059,0.0000,0.1109,0.2047,0.0002,0.2500,0.1875,0.5625,0.3442,-0.0947,-0.9560,0.0120,0.0086,0.0003,-0.0084,-0.0092,-0.0011,-0.0080,0.0089,0.0049,-0.0080,0.0000,0.0000,0.0000
pg55046-8,0.0026,0.0436,0.0000,0.0286,0.0081,0.0290,0.0344,0.0613,0.0277,0.0019,0.0106,0.0087,0.0001,0.1169,0.2203,0.0034,0.3750,0.2500,0.3750,0.3150,-0.0947,-0.9560,0.0120,0.0086,0.0003,-0.0084,-0.0092,-0.0011,-0.0080,0.0089,0.0049,-0.0080,0.0000,0.0000,0.0000
pg13150-7,0.0065,0.1784,0.0270,0.0499,0.0168,0.0350,0.0331,0.0562,0.0400,0.0005,0.0036,0.0099,0.0007,0.1033,0.0485,0.0062,0.3043,0.2174,0.4783,0.6867,-0.0752,-0.5596,-0.0071,-0.0050,-0.0044,-0.0002,-0.0024,0.0137,-0.0009,-0.0080,0.0148,-0.0007,0.0196,0.0000,0.0000
pg13150-6,0.0059,0.1263,0.0222,0.0448,0.0138,0.0300,0.0300,0.0618,0.0307,0.0000,0.0035,0.0129,0.0011,0.1082,0.1625,0.0028,0.3333,0.1667,0.5000,0.6180,-0.0752,-0.5596,-0.0071,-0.0050,-0.0044,-0.0002,-0.0024,0.0137,-0.0009,-0.0080,0.0148,-0.0007,0.0000,0.0000,0.0000
pg13150-9,0.0085,0.0977,0.0114,0.0535,0.0132,0.0300,0.0339,0.0513,0.0452,0.0004,0.0031,0.0107,0.0012,0.0995,-0.0043,0.0040,0.3333,0.2500,0.4167,0.7153,-0.0752,-0.5596,-0.0071,-0.0050,-0.0044,-0.0002,-0.0024,0.0137,-0.0009,-0.0080,0.0148,-0.0007,0.0133,0.0000,0.0000
pg13150-8,0.0063,0.0856,0.0067,0.0494,0.0102,0.0306,0.0331,0.0518,0.0395,0.0003,0.0031,0.0120,0.0019,0.1003,0.0485,0.0039,0.2917,0.2500,0.4583,0.6842,-0.0752,-0.5596,-0.0071,-0.0050,-0.0044,-0.0002,-0.0024,0.0137,-0.0009,-0.0080,0.0148,-0.0007,0.0000,0.0000,0.0000
pg13150-3,0.0069,0.1248,0.0092,0.0503,0.0146,0.0334,0.0325,0.0589,0.0401,0.0000,0.0031,0.0089,0.0002,0.1034,0.0525,0.0034,0.3750,0.1667,0.4583,0.6773,-0.0752,-0.5596,-0.0071,-0.0050,-0.0044,-0.0002,-0.0024,0.0137,-0.0009,-0.0080,0.0148,-0.0007,0.0025,0.0000,0.0000
pg13150-2,0.0077,0.1083,0.0191,0.0481,0.0147,0.0351,0.0312,0.0539,0.0395,0.0007,0.0066,0.0108,0.0017,0.1032,0.0455,0.0042,0.4167,0.1250,0.4583,0.6677,-0.0752,-0.5596,-0.0071,-0.0050,-0.0044,-0.0002,-0.0024,0.0137,-0.0009,-0.0080,0.0148,-0.0007,0.0146,0.0000,0.0000
pg13150-5,0.0057,0.2198,0.0078,0.0493,0.0144,0.0314,0.0320,0.0596,0.0358,0.0003,0.0041,0.0083,0.0005,0.1043,0.0972,0.0014,0.4167,0.1250,0.4583,0.6535,-0.0752,-0.5596,-0.0071,-0.0050,-0.0044,-0.0002,-0.0024,0.0137,-0.0009,-0.0080,0.0148,-0.0007,0.0000,0.0000,0.0000
pg13150-4,0.0074,0.1631,0.0200,0.0514,0.0136,0.0340,0.0303,0.0596,0.0391,0.0002,0.0044,0.0121,0.0007,0.1066,0.0628,0.0028,0.4167,0.2917,0.2917,0.6510,-0.0752,-0.5596,-0.0071,-0.0050,-0.0044,-0.0002,-0.0024,0.0137,-0.0009,-0.0080,0.0148,-0.0007,0.0025,0.0000,0.0000
pg16345-3,0.0145,0.3103,0.0785,0.0578,0.0354,0.0284,0.0437,0.0662,0.0243,0.0018,0.0075,0.0041,0.0273,0.1234,-0.0178,0.0159,0.1724,0.2759,0.5517,0.6942,-0.1612,0.2226,-0.0064,-0.0070,-0.0065,0.0018,-0.0066,0.0037,0.0086,0.0115,0.0109,-0.0099,0.1575,0.0789,0.0000
